"device_brand_name","device_type_name","os_ver_name"
"LG","SmartPhone","6.0"
"mobiistar","SmartPhone","8.1"
"Micromax","SmartPhone","7.0"
"LG","SmartPhone","8.0"
"samsung","",""
"Micromax","SmartPhone","7.0"
"Micromax","SmartPhone","7.0"
"EKEN","Tablet","5.1.1"
"TAMBO","SmartPhone","7.0"
"GiONEE","SmartPhone","6.0"
"OPPO","SmartPhone","9.0"
"Micromax","SmartPhone","7.0"
"oppo","",""
"Unknown","SmartPhone","7.0"
"Micromax","SmartPhone","7.0"
"Motorola","SmartPhone","7.0"
"SFR","SmartPhone","5.1"
"TAMBO","SmartPhone","7.0"
"Realme","SmartPhone","10.0"
"Realme","SmartPhone","9.0"
"Vowney","SmartPhone","7.0"
"SFR","SmartPhone","5.1"
"HTC","SmartPhone","5.1"
"Tecno","SmartPhone","10.0"
"Samsung","SmartPhone","9.0"
"Samsung","SmartPhone","10.0"
"Meizu","SmartPhone","7.0"
"Xiaomi","SmartPhone","10.0"
"Samsung","SmartPhone","7.0"
"OPPO","SmartPhone","10.0"
"iTel","SmartPhone","8.1"
"Xiaomi","SmartPhone","10.0"
"Samsung","SmartPhone","10.0"
"OPPO","SmartPhone","9.0"
"Vivo","SmartPhone","7.1.2"
"Oneplus","SmartPhone","10.0"
"OPPO","SmartPhone","6.0"
"Realme","SmartPhone","10.0"
"Xiaomi","SmartPhone","10.0"
"Xiaomi","SmartPhone","10.0"
"Tecno","SmartPhone","8.1"
"Samsung","SmartPhone","9.0"
"Xiaomi","SmartPhone","10.0"
"BLU","SmartPhone","7.0"
"Tecno","SmartPhone","7.0"
"OPPO","SmartPhone","10.0"
"ZTE","SmartPhone","6.0.1"
"OPPO","SmartPhone","9.0"
"Vivo","SmartPhone","6.0.1"
"Samsung","SmartPhone","7.0"
"Samsung","SmartPhone","6.0.1"
"Vivo","SmartPhone","9.0"
"Samsung","SmartPhone","8.1"
"Vivo","SmartPhone","6.0.1"
"Hisense","SmartPhone","5.1.1"
"Realme","SmartPhone","10.0"
"Meizu","SmartPhone","6.0"
"OPPO","SmartPhone","7.1.1"
"Samsung","SmartPhone","9.0"
"Huawei","SmartPhone","6.0.1"
"Motorola","SmartPhone","7.1.1"
"ALCATEL","SmartPhone","7.0"
"Samsung","SmartPhone","7.1.1"
"Motorola","SmartPhone","5.0.1"
"Asus","SmartPhone","6.0.1"
"Samsung","SmartPhone","5.0"
"Samsung","SmartPhone","8.0"
"Google","SmartPhone","8.1"
"LG","SmartPhone","7.0"
"Xiaomi","SmartPhone","7.1.2"
"Samsung","SmartPhone","7.0"
"ZTE","SmartPhone","7.1.1"
